nom,point_depart,point_arrivee,distance_km,coords
Boulevard Allal El Fassi,"(-4.9941041, 34.0478506)","(-4.9939843, 34.0480171)",0.02,"[(-4.9941041, 34.0478506), (-4.9940483, 34.0479281), (-4.9939843, 34.0480171)]"
Boulevard Allal El Fassi,"(-4.9942014, 34.0479119)","(-4.9967631, 34.0449322)",0.41,"[(-4.9942014, 34.0479119), (-4.9942993, 34.0477981), (-4.9943457, 34.0477408), (-4.9945566, 34.0474803), (-4.9948418, 34.0471147), (-4.9951932, 34.0466532), (-4.9954071, 34.0463888), (-4.9955167, 34.0462532), (-4.9955902, 34.046159), (-4.9957338, 34.0459812), (-4.9959257, 34.045744), (-4.9962533, 34.0453016), (-4.9963076, 34.0452334), (-4.9963667, 34.0451745), (-4.9964044, 34.0451431), (-4.9964521, 34.0451065), (-4.9965304, 34.0450576), (-4.9965593, 34.0450396), (-4.9967631, 34.0449322)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0147401, 34.0411007)","(-5.0188044, 34.0405463)",0.38,"[(-5.0147401, 34.0411007), (-5.0150339, 34.0410336), (-5.0151426, 34.0410286), (-5.0160499, 34.0410442), (-5.0163712, 34.0410472), (-5.0166498, 34.0410389), (-5.016958, 34.0410104), (-5.0172335, 34.0409724), (-5.0175032, 34.0409273), (-5.0176229, 34.0409039), (-5.0178172, 34.0408659), (-5.0180784, 34.0408004), (-5.0184735, 34.040675), (-5.0188044, 34.0405463)]"
Boulevard Allal El Fassi,"(-4.963013, 34.0605752)","(-4.9593794, 34.0626108)",0.44,"[(-4.963013, 34.0605752), (-4.9629808, 34.0606378), (-4.9628779, 34.0608048), (-4.9627338, 34.0610636), (-4.9626439, 34.0612281), (-4.9625462, 34.0613919), (-4.9625024, 34.0614647), (-4.9624528, 34.0615369), (-4.9623976, 34.0616126), (-4.9623469, 34.0616791), (-4.9623039, 34.061728), (-4.9622637, 34.0617691), (-4.9621892, 34.0618374), (-4.9621122, 34.0618991), (-4.9620411, 34.0619547), (-4.9619756, 34.0620029), (-4.9618962, 34.0620525), (-4.9618024, 34.0621046), (-4.9616401, 34.0621747), (-4.9614949, 34.0622281), (-4.961305, 34.0622842), (-4.9611801, 34.0623124), (-4.9609952, 34.062341), (-4.9601957, 34.0624602), (-4.9596217, 34.0625641), (-4.9593794, 34.0626108)]"
Boulevard Allal El Fassi,"(-4.959582, 34.0628031)","(-4.9599232, 34.0627149)",0.03,"[(-4.959582, 34.0628031), (-4.959732, 34.0627801), (-4.9599232, 34.0627149)]"
Boulevard Allal El Fassi,"(-4.9940818, 34.0480749)","(-4.9942014, 34.0479119)",0.02,"[(-4.9940818, 34.0480749), (-4.9942014, 34.0479119)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0128475, 34.0409173)","(-5.0111563, 34.0408906)",0.16,"[(-5.0128475, 34.0409173), (-5.0111563, 34.0408906)]"
Avenue Hassan II شارع الحسن الثاني,"(-5.0016829, 34.039095)","(-5.0021862, 34.0384715)",0.08,"[(-5.0016829, 34.039095), (-5.0021862, 34.0384715)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0143938, 34.0408925)","(-5.0128475, 34.0409173)",0.14,"[(-5.0143938, 34.0408925), (-5.0142558, 34.0409207), (-5.0141174, 34.0409359), (-5.0128475, 34.0409173)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0225638, 34.0387524)","(-5.0224055, 34.0387702)",0.01,"[(-5.0225638, 34.0387524), (-5.0224055, 34.0387702)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9972195, 34.0440403)","(-4.9967892, 34.0444853)",0.06,"[(-4.9972195, 34.0440403), (-4.9970199, 34.0442989), (-4.9969338, 34.0443691), (-4.9967892, 34.0444853)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9978496, 34.0372896)","(-4.9977921, 34.0370943)",0.02,"[(-4.9978496, 34.0372896), (-4.9977921, 34.0370943)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9978496, 34.0372896)","(-4.9978629, 34.037655)",0.04,"[(-4.9978496, 34.0372896), (-4.9978505, 34.0374238), (-4.997861, 34.0375535), (-4.9978629, 34.037655)]"
